card,n_terms,train_auc,test_auc,train_acc,test_acc,intercept,multiplier
06,5,0.7110899807182999,0.7253441326928607,0.9299009306514561,0.9268797564687976,-10,3.518286358979892
19,5,0.7036185494340687,0.72464121974706,0.9304262984088862,0.9268797564687976,-11,3.322886696121785
18,5,0.707379378002013,0.7240157382331907,0.9301260882617832,0.9270624048706241,-10,3.5226778883149166
52,5,0.7095485367636333,0.7206218294912177,0.9300510357250075,0.9270624048706241,-10,3.5384247250599974
21,5,0.7036226663071553,0.7202974671671543,0.9304262984088862,0.9268797564687976,-10,3.0589121620294573
41,5,0.7098062963543659,0.7174938463253865,0.930201140798559,0.9266362252663622,-9,3.199648231409065
03,5,0.707570400913235,0.7168249209815662,0.9301260882617832,0.9270624048706241,-11,3.5194251952911113
15,5,0.7122813171185736,0.7149949078897614,0.9300510357250075,0.9270624048706241,-11,3.376543266327323
02,5,0.7069857182639138,0.7143918198201002,0.9304262984088862,0.9268797564687976,-12,3.271579458726006
32,5,0.7092164134443034,0.7142764538388613,0.9308766136295407,0.9253576864535769,-9,3.0299201528973527
31,5,0.7031662134206076,0.7130901768923118,0.9301260882617832,0.9270624048706241,-8,2.6758122036119207
36,5,0.7089724778800408,0.7125997960963155,0.9302761933353347,0.9261491628614916,-11,3.785862733500469
13,5,0.7061630803501822,0.7095722956311787,0.9304262984088862,0.9268797564687976,-9,2.655052185954111
07,5,0.7116428117705822,0.7060783975569274,0.9302761933353347,0.9261491628614916,-7,2.242276234192783
46,5,0.7102801267788901,0.7058437186471225,0.930201140798559,0.9266362252663622,-9,3.1882324352464027
22,5,0.6973498084527292,0.7036692795823428,0.9301260882617832,0.9270624048706241,-12,3.748334360354554
24,5,0.7107280859062274,0.7034787845551127,0.9302761933353347,0.9261491628614916,-9,3.0193467575725883
63,5,0.6928889381180239,0.7000474346322481,0.9304262984088862,0.9255403348554033,-8,3.062835371897304
12,5,0.7071541633764185,0.6997129308463034,0.9305764034824378,0.9259665144596652,-10,3.4803118620058076
53,5,0.6938707040104324,0.6987846581718858,0.9301260882617832,0.9270624048706241,-10,3.7519745213226154
39,5,0.704663455158975,0.6987634433300044,0.930201140798559,0.9266362252663622,-11,3.35597845312848
50,5,0.6937176863381262,0.6983528237612369,0.9301260882617832,0.9268188736681887,-7,2.4853183315246667
20,5,0.7027650133044339,0.6981579980556899,0.9301260882617832,0.9270624048706241,-10,3.4594563875887907
37,5,0.6938834879847542,0.6979079424969244,0.930201140798559,0.9274885844748858,-7,2.4854728809827886
47,5,0.6938441393451467,0.6977829284222199,0.9301260882617832,0.9270624048706241,-10,3.7233519252164826
11,5,0.7040044954520687,0.6976484033008321,0.9302761933353347,0.9267579908675799,-10,3.6440645113587675
17,5,0.6961355042341824,0.6972513239541439,0.9304262984088862,0.9268797564687976,-12,3.100435316085682
01,5,0.7048673487155313,0.6971935724401332,0.930501350945662,0.9259665144596652,-7,2.4304916179755507
04,5,0.7036308567178226,0.6968971402502782,0.9305764034824378,0.9268797564687976,-11,3.976687469618758
14,5,0.7000406833731976,0.6966703826444832,0.9307265085559892,0.9261491628614916,-8,2.45411074342322
49,5,0.6936756075616298,0.6963517762852713,0.9303512458721105,0.925662100456621,-6,2.483562175038895
48,5,0.6936756075616298,0.6963517762852713,0.9303512458721105,0.925662100456621,-7,2.4835108782903697
27,5,0.7091233287770382,0.6961286093051695,0.930201140798559,0.926392694063927,-10,3.4863375876656124
05,5,0.7069365324644045,0.6939660384917268,0.9304262984088862,0.9268797564687976,-10,2.979882900483154
25,5,0.7024772655434277,0.6936748414889508,0.9302761933353347,0.9269406392694064,-9,3.28992799549828
64,5,0.6935576483138197,0.6929078180584463,0.9303512458721105,0.9257838660578387,-7,2.792374256020582
23,5,0.7020481140257706,0.6928818065791884,0.930501350945662,0.9268797564687976,-7,2.665869931317414
30,5,0.6919512877709022,0.6923821066020039,0.9304262984088862,0.9268797564687976,-9,2.81843848082132
56,5,0.7018667549324257,0.6923715539997761,0.9298258781146803,0.9261491628614916,-7,2.3433560923501
57,5,0.7018667549324257,0.6923715539997761,0.9298258781146803,0.9261491628614916,-6,2.343284016412752
55,5,0.6943893000128359,0.6920057487287815,0.9303512458721105,0.9246879756468798,-9,2.9360459909626297
33,5,0.6914684002255874,0.6913727844606052,0.9304262984088862,0.9268797564687976,-10,3.0435664912506764
58,5,0.6922185811729935,0.6910281118034227,0.929600720504353,0.9255403348554033,-7,1.207071099936949
54,5,0.6898515958256813,0.6908986574129756,0.9304262984088862,0.9268797564687976,-8,1.2903502814758905
26,5,0.6920159876816224,0.6908526371035195,0.9306514560192134,0.9267579908675799,-11,3.4107635731681785
09,5,0.7015960380253465,0.6907016389589138,0.9308766136295407,0.9262100456621004,-11,3.2803603991095684
16,5,0.6922698470767992,0.6903900768043059,0.930501350945662,0.9271841704718417,-11,3.379908243254736
29,5,0.7028425838604883,0.6903871714125237,0.9302761933353347,0.9261491628614916,-7,2.148818554760978
10,5,0.6962798548052533,0.6901512316723227,0.930201140798559,0.926697108066971,-11,3.3463206906268823
35,5,0.6980774116014177,0.6900066199077663,0.9301260882617832,0.9270624048706241,-11,3.9627543512514682
60,5,0.7003004797327205,0.6892411862199352,0.9297508255779046,0.9247488584474886,-8,1.4600801398979057
40,5,0.7054454010324078,0.6862124249244023,0.9301260882617832,0.9269406392694064,-10,3.4905147365980187
38,5,0.6998440701816789,0.6858138380631101,0.9306514560192134,0.9262100456621004,-11,3.972741887308986
51,5,0.6994279626513806,0.6857104225612771,0.9308766136295407,0.9253576864535769,-7,2.4533741395315527
08,5,0.7098096331883414,0.6856219451587018,0.930501350945662,0.9256012176560122,-13,4.234565076273125
34,5,0.6997038364836947,0.6853658869508769,0.9304262984088862,0.9262709284627093,-8,2.833139647917225
45,5,0.6998151653990599,0.6845725231288372,0.9302761933353347,0.9261491628614916,-9,3.006562746483332
44,5,0.6998151653990599,0.6845725231288372,0.9302761933353347,0.9261491628614916,-8,3.00658484123471
42,5,0.6997467819703147,0.6843352677395274,0.9309516661663164,0.9260273972602739,-7,2.4907917351850557
28,5,0.7039336852349777,0.6809489239799307,0.9305764034824378,0.9261491628614916,-9,2.944993572815189
43,5,0.6885636645821421,0.6808977781208211,0.9305764034824378,0.9259665144596652,-9,3.4154243234531827
66,5,0.6950993522815235,0.676896368402801,0.9302761933353347,0.9261491628614916,-7,1.24271420398974
61,5,0.6860798467101807,0.6715031115649615,0.9302761933353347,0.9245053272450533,-9,2.9130886575647286
59,5,0.6925589382384967,0.6670686340152525,0.9302761933353347,0.9249923896499239,-8,3.0239567911912273
68,5,0.6822259768104774,0.6622193432652416,0.9302761933353347,0.9248097412480974,-8,3.241839520337112
67,5,0.6820607385254298,0.6621846430199936,0.9305764034824378,0.9257229832572298,-8,3.1026273161840536
71,5,0.6811341387323827,0.6614181403672612,0.9299009306514561,0.9243226788432268,-9,1.5639374063611435
69,5,0.6822807962257895,0.661123900925921,0.9306514560192134,0.9245053272450533,-6,2.2318719133076366
70,5,0.6822807962257895,0.661123900925921,0.9306514560192134,0.9245053272450533,-5,2.231817227702524
65,5,0.6816043723098943,0.6590132982522808,0.930501350945662,0.9260273972602739,-7,2.904290407300749
62,5,0.6897306897634514,0.6529611204857202,0.9305764034824378,0.925662100456621,-8,3.006199193317543
