card,n_terms,train_auc,test_auc,train_acc,test_acc
07,5,0.6975269640019752,0.7083801804917085,0.9303512458721105,0.925662100456621
02,5,0.7048911832439279,0.7066765245330734,0.9301260882617832,0.9270624048706241
26,5,0.7021447955400484,0.7032660331304565,0.9301260882617832,0.9270624048706241
22,5,0.6989806968921422,0.7020294874242035,0.9304262984088862,0.926392694063927
06,5,0.7045965451374399,0.7003915591023019,0.9301260882617832,0.9270624048706241
05,5,0.699868771420199,0.6987223567047068,0.9301260882617832,0.9270624048706241
03,5,0.6936756075616298,0.6963517762852713,0.9303512458721105,0.925662100456621
11,5,0.6965292073077877,0.6939588572403405,0.9301260882617832,0.9270624048706241
09,5,0.6962581003811531,0.6936333985420196,0.9301260882617832,0.9270624048706241
25,5,0.6992867755722605,0.6935925860102865,0.9301260882617832,0.9270624048706241
04,5,0.6965172900435894,0.6933138602646889,0.9301260882617832,0.9276103500761035
13,5,0.6977225371413456,0.6930125218000317,0.9301260882617832,0.9270624048706241
01,5,0.6988137251868475,0.6924236317770045,0.9304262984088862,0.926392694063927
08,5,0.6973925372618182,0.6913849268055063,0.930201140798559,0.926697108066971
10,5,0.6962920320824886,0.6910676909141164,0.9301260882617832,0.9270624048706241
23,5,0.6955517316304906,0.6910233151660464,0.9300510357250075,0.9268797564687976
19,5,0.6838868100846578,0.6905330714168325,0.9303512458721105,0.925662100456621
15,5,0.684094690507782,0.6901517524500951,0.9300510357250075,0.9268797564687976
16,5,0.6843000574715483,0.6898853883242502,0.9301260882617832,0.9260273972602739
12,5,0.6839993090586896,0.6896870816304358,0.9299759831882317,0.9270015220700152
24,5,0.6949980772035909,0.6892192587347863,0.9305764034824378,0.9268797564687976
17,5,0.6993950710021934,0.6863747705425727,0.9301260882617832,0.9270624048706241
14,5,0.6957669357541587,0.6828551624919841,0.9304262984088862,0.9265144596651446
21,5,0.6958303789351998,0.6827157036864379,0.9301260882617832,0.9270624048706241
18,5,0.6961023092364518,0.6823952609003447,0.9301260882617832,0.9270624048706241
20,5,0.6957070027491179,0.6823385509418787,0.9301260882617832,0.9270624048706241
27,5,0.6815162278903331,0.6729165572576522,0.9304262984088862,0.926392694063927
28,5,0.6832140696867874,0.6634344000360488,0.9304262984088862,0.926392694063927
30,5,0.6689726356212834,0.6555632003296139,0.930501350945662,0.9261491628614916
29,5,0.6689912265534328,0.6553839979572356,0.9310267187030922,0.9261491628614916
31,5,0.668764538520628,0.6552418804441149,0.9303512458721105,0.9257229832572298
