card,n_terms,train_auc,test_auc,train_acc,test_acc
30,5,0.7104220072261089,0.7265083176981227,0.9301260882617832,0.9270624048706241
14,5,0.7158102573929724,0.724209522383193,0.9301260882617832,0.9270624048706241
12,5,0.7128831606283406,0.7183203754687136,0.9301260882617832,0.9270624048706241
07,5,0.710173261420661,0.7174997393370203,0.9301260882617832,0.9270624048706241
19,5,0.7128493589335236,0.7169334620330529,0.9301260882617832,0.9270624048706241
42,5,0.7106526821254818,0.716624037808247,0.9301260882617832,0.9270624048706241
01,5,0.7069857182639138,0.7143918198201002,0.9304262984088862,0.9268797564687976
43,5,0.7142858442922329,0.7134568044439995,0.9301260882617832,0.9270624048706241
35,5,0.7116591059209042,0.7122392808311131,0.9301260882617832,0.9270624048706241
13,5,0.7126605894686227,0.7104901527501507,0.9301260882617832,0.9270624048706241
39,5,0.7101727413945869,0.7103644808508917,0.9301260882617832,0.9270624048706241
38,5,0.7101727413945869,0.7103644808508917,0.9301260882617832,0.9270624048706241
41,5,0.7079104112946889,0.7093733585221663,0.9301260882617832,0.9270624048706241
50,5,0.7125878724892599,0.7088864038957247,0.9301260882617832,0.9270624048706241
26,5,0.7092135966364019,0.7081088552723487,0.9301260882617832,0.9270624048706241
27,5,0.7092135966364019,0.7081088552723487,0.9301260882617832,0.9270624048706241
44,4,0.7073472663919368,0.7079274875608117,0.9301260882617832,0.9270624048706241
03,5,0.7150753738792462,0.7076509819730855,0.9301260882617832,0.9270624048706241
32,5,0.7026767822138602,0.7065290896048042,0.9301260882617832,0.9270624048706241
34,5,0.7029136974261223,0.7055614296851882,0.9301260882617832,0.9270624048706241
45,5,0.711471289837139,0.7054222723825626,0.930501350945662,0.9270624048706241
31,5,0.7026448872813149,0.7051156165027569,0.9301260882617832,0.9270624048706241
15,5,0.7029794807244969,0.7050835201463703,0.9302761933353347,0.9271841704718417
40,4,0.7022521809243516,0.7046133400460675,0.9301260882617832,0.9270624048706241
37,5,0.7020772788214268,0.7039792794036338,0.9301260882617832,0.9270624048706241
06,5,0.7060612852461755,0.7039129761704153,0.9299759831882317,0.9269406392694064
46,5,0.7102812535020505,0.7032422692184266,0.9302761933353347,0.9271841704718417
09,5,0.7112683496617187,0.7030388643843152,0.9301260882617832,0.9270624048706241
33,5,0.7053397490683515,0.7029344073269376,0.9301260882617832,0.9270624048706241
29,5,0.7054424108824817,0.702604754997082,0.9301260882617832,0.9270624048706241
36,5,0.7052813761415331,0.7025380406235168,0.9301260882617832,0.9270624048706241
21,5,0.7095482334150901,0.7024096003792578,0.9301260882617832,0.9270624048706241
20,5,0.7112911008024608,0.7020270754008372,0.9301260882617832,0.9270624048706241
16,5,0.71102289735474,0.7019859339568267,0.9306514560192134,0.9260273972602739
17,5,0.7114568591135826,0.7015529483532075,0.9301260882617832,0.9270624048706241
23,5,0.7073109512377618,0.7013993737290967,0.9301260882617832,0.9270624048706241
04,5,0.7131382334176902,0.7008734155884466,0.9306514560192134,0.9260273972602739
47,5,0.7122573959191648,0.7005770930360171,0.9301260882617832,0.9270624048706241
49,5,0.711414997014617,0.6979861413908363,0.9301260882617832,0.9270624048706241
02,5,0.7069365324644045,0.6939660384917268,0.9302761933353347,0.9265753424657535
11,5,0.7068055725647417,0.6901803404088578,0.9301260882617832,0.9270624048706241
48,5,0.6964964890006253,0.6862578422280167,0.9301260882617832,0.9270624048706241
24,5,0.7075179216152564,0.685734049426525,0.930501350945662,0.9265753424657535
25,5,0.7075179216152564,0.685734049426525,0.930501350945662,0.9265753424657535
28,5,0.7038181094400073,0.6848460959154248,0.9301260882617832,0.9270624048706241
18,5,0.7038716721256404,0.6840623253681378,0.930501350945662,0.9270624048706241
08,5,0.7095066746646677,0.6839090522469479,0.930501350945662,0.9266362252663622
10,5,0.7039282682967056,0.6838292087916498,0.9302761933353347,0.9271841704718417
22,5,0.7038955933250493,0.6837289727751633,0.9301260882617832,0.9270624048706241
05,5,0.7065528832282317,0.6815784894879087,0.9299759831882317,0.9269406392694064
