card,n_terms,train_auc,test_auc,train_acc,test_acc
06,5,0.7110899807182999,0.7253441326928607,0.9299009306514561,0.9268797564687976
19,5,0.7036185494340687,0.72464121974706,0.9304262984088862,0.9268797564687976
18,5,0.707379378002013,0.7240157382331907,0.9301260882617832,0.9270624048706241
21,5,0.7036226663071553,0.7202974671671543,0.9304262984088862,0.9268797564687976
41,5,0.7098062963543659,0.7174938463253865,0.930201140798559,0.9266362252663622
03,5,0.707570400913235,0.7168249209815662,0.9301260882617832,0.9270624048706241
15,5,0.7122813171185736,0.7149949078897614,0.9300510357250075,0.9270624048706241
02,5,0.7069857182639138,0.7143918198201002,0.9304262984088862,0.9268797564687976
32,5,0.7092164134443034,0.7142764538388613,0.9308766136295407,0.9253576864535769
31,5,0.7031662134206076,0.7130901768923118,0.9301260882617832,0.9270624048706241
36,5,0.7089724778800408,0.7125997960963155,0.9302761933353347,0.9261491628614916
13,5,0.7061630803501822,0.7095722956311787,0.9304262984088862,0.9268797564687976
07,5,0.7116428117705822,0.7060783975569274,0.9302761933353347,0.9261491628614916
46,5,0.7102801267788901,0.7058437186471225,0.930201140798559,0.9266362252663622
22,5,0.6973498084527292,0.7036692795823428,0.9301260882617832,0.9270624048706241
24,5,0.7107280859062274,0.7034787845551127,0.9302761933353347,0.9261491628614916
12,5,0.7071541633764185,0.6997129308463034,0.9305764034824378,0.9259665144596652
39,5,0.704663455158975,0.6987634433300044,0.930201140798559,0.9266362252663622
49,5,0.6937176863381262,0.6983528237612369,0.9301260882617832,0.9268188736681887
20,5,0.7027650133044339,0.6981579980556899,0.9301260882617832,0.9270624048706241
37,5,0.6938834879847542,0.6979079424969244,0.930201140798559,0.9274885844748858
47,5,0.6938441393451467,0.6977829284222199,0.9301260882617832,0.9270624048706241
11,5,0.7040044954520687,0.6976484033008321,0.9302761933353347,0.9267579908675799
17,5,0.6961355042341824,0.6972513239541439,0.9304262984088862,0.9268797564687976
01,5,0.7048673487155313,0.6971935724401332,0.930501350945662,0.9259665144596652
04,5,0.7036308567178226,0.6968971402502782,0.9305764034824378,0.9268797564687976
14,5,0.7000406833731976,0.6966703826444832,0.9307265085559892,0.9261491628614916
48,5,0.6936756075616298,0.6963517762852713,0.9303512458721105,0.925662100456621
27,5,0.7091233287770382,0.6961286093051695,0.930201140798559,0.926392694063927
05,5,0.7069365324644045,0.6939660384917268,0.9304262984088862,0.9268797564687976
25,5,0.7024772655434277,0.6936748414889508,0.9302761933353347,0.9269406392694064
23,5,0.7020481140257706,0.6928818065791884,0.930501350945662,0.9268797564687976
30,5,0.6919512877709022,0.6923821066020039,0.9304262984088862,0.9268797564687976
33,5,0.6914684002255874,0.6913727844606052,0.9304262984088862,0.9268797564687976
26,5,0.6920159876816224,0.6908526371035195,0.9306514560192134,0.9267579908675799
09,5,0.7015960380253465,0.6907016389589138,0.9308766136295407,0.9262100456621004
16,5,0.6922698470767992,0.6903900768043059,0.930501350945662,0.9271841704718417
29,5,0.7028425838604883,0.6903871714125237,0.9302761933353347,0.9261491628614916
10,5,0.6962798548052533,0.6901512316723227,0.930201140798559,0.926697108066971
35,5,0.6980774116014177,0.6900066199077663,0.9301260882617832,0.9270624048706241
40,5,0.7054454010324078,0.6862124249244023,0.9301260882617832,0.9269406392694064
38,5,0.6998440701816789,0.6858138380631101,0.9306514560192134,0.9262100456621004
50,5,0.6994279626513806,0.6857104225612771,0.9308766136295407,0.9253576864535769
08,5,0.7098096331883414,0.6856219451587018,0.930501350945662,0.9256012176560122
34,5,0.6997038364836947,0.6853658869508769,0.9304262984088862,0.9262709284627093
44,5,0.6998151653990599,0.6845725231288372,0.9302761933353347,0.9261491628614916
45,5,0.6998151653990599,0.6845725231288372,0.9302761933353347,0.9261491628614916
42,5,0.6997467819703147,0.6843352677395274,0.9309516661663164,0.9260273972602739
28,5,0.7039336852349777,0.6809489239799307,0.9305764034824378,0.9261491628614916
43,5,0.6885636645821421,0.6808977781208211,0.9305764034824378,0.9259665144596652
